車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
1254,1234567,21:05,20:57,20:47,--:--,--:--,--:--,20:08,--:--,--:--,--:--,19:28,19:15
0678,------7,21:10,21:02,20:51,20:38,20:25,--:--,20:00,--:--,--:--,19:32,19:13,19:00
1259,1234567,21:35,21:46,21:54,--:--,--:--,--:--,22:35,--:--,--:--,--:--,23:12,23:25
0156,------7,21:40,21:31,21:21,--:--,--:--,--:--,20:39,--:--,--:--,--:--,--:--,19:55
1682,------7,21:45,21:36,21:25,21:11,20:57,--:--,20:32,--:--,--:--,20:08,19:48,19:35
0854,1234567,21:50,21:42,21:32,21:20,21:08,20:56,20:36,20:24,20:12,20:00,19:41,19:25
1328,------7,21:55,21:47,--:--,21:27,--:--,--:--,20:53,20:41,20:31,20:19,19:58,19:45
1258,1234567,22:05,21:57,21:47,--:--,--:--,--:--,21:08,--:--,--:--,--:--,20:28,20:15
0684,------7,22:10,22:02,21:51,21:38,21:25,--:--,21:00,--:--,--:--,20:32,20:13,20:00
0565,1234567,22:15,22:26,22:35,22:48,23:00,23:12,23:29,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0160,------7,22:40,22:31,22:21,--:--,--:--,--:--,21:39,--:--,--:--,--:--,--:--,20:55
1688,------7,22:45,22:36,22:25,22:11,21:57,--:--,21:32,--:--,--:--,21:08,20:48,20:35
0858,1234567,22:50,22:42,22:32,22:20,22:08,21:56,21:36,21:24,21:12,21:00,20:41,20:25
1330,------7,22:55,22:47,--:--,22:27,--:--,--:--,21:54,21:42,21:31,21:19,20:58,20:45
1692,1234567,23:10,23:02,22:51,22:38,22:25,--:--,22:00,--:--,--:--,21:32,21:13,21:00
1260,1234567,23:25,23:17,23:07,--:--,--:--,--:--,22:28,--:--,--:--,--:--,21:48,21:35
1860,1234567,23:30,23:22,23:11,22:58,22:45,22:32,22:13,22:01,21:50,21:38,21:19,21:05
0596,1234567,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,23:30,23:19,23:09,22:57,22:38,22:25
