車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
1541,----5--,16:25,16:36,16:46,17:01,17:12,17:25,17:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0663,1234567,16:35,16:46,16:55,17:10,17:22,--:--,17:48,--:--,--:--,18:14,18:33,18:45
1241,----5--,16:40,16:51,16:59,--:--,--:--,--:--,17:40,--:--,--:--,--:--,18:18,18:30
0136,1234567,16:40,16:31,16:21,--:--,--:--,--:--,15:39,--:--,--:--,--:--,--:--,14:55
0834,1234567,16:50,16:42,16:32,16:20,16:08,15:56,15:36,15:24,15:12,15:00,14:41,14:25
0845,1234567,17:00,17:11,17:19,17:34,17:47,17:58,18:17,18:30,18:41,18:55,19:13,19:25
1238,----5-7,17:05,16:57,16:47,--:--,--:--,--:--,16:08,--:--,--:--,--:--,15:28,15:15
0667,----5--,17:10,17:21,17:29,17:43,17:56,--:--,18:25,--:--,--:--,18:50,19:07,19:20
0654,1234567,17:10,17:02,16:51,16:38,16:25,--:--,16:00,--:--,--:--,15:32,15:13,15:00
0149,1234567,17:20,17:31,17:39,--:--,--:--,--:--,18:20,--:--,--:--,--:--,--:--,19:05
1545,----5--,17:25,17:36,17:46,18:01,18:12,18:25,18:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0669,1234567,17:35,17:46,17:55,18:10,18:22,--:--,18:48,--:--,--:--,19:14,19:33,19:45
1245,----5--,17:40,17:51,17:59,--:--,--:--,--:--,18:40,--:--,--:--,--:--,19:18,19:30
0140,1234567,17:40,17:31,17:21,--:--,--:--,--:--,16:39,--:--,--:--,--:--,--:--,15:55
0658,1234567,17:45,17:36,17:25,17:11,16:57,--:--,16:32,--:--,--:--,16:08,15:48,15:35
0838,1234567,17:50,17:42,17:32,17:20,17:08,16:56,16:36,16:24,16:12,16:00,15:41,15:25
1320,------7,17:55,17:47,--:--,17:27,--:--,--:--,16:53,16:41,16:31,16:19,15:58,15:45
0849,1234567,18:00,18:11,18:19,18:34,18:47,18:58,19:17,19:30,19:41,19:55,20:13,20:25
0242,12345-7,18:05,17:57,17:47,--:--,--:--,--:--,17:08,--:--,--:--,--:--,16:28,16:15
0673,----5--,18:10,18:21,18:29,18:43,18:56,--:--,19:25,--:--,--:--,19:50,20:07,20:20
0660,1234567,18:10,18:02,17:51,17:38,17:25,--:--,17:00,--:--,--:--,16:32,16:13,16:00
0153,1234567,18:20,18:31,18:39,--:--,--:--,--:--,19:20,--:--,--:--,--:--,--:--,20:05
1549,----5--,18:25,18:36,18:46,19:01,19:12,19:25,19:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
1550,----5--,18:25,18:16,18:05,17:51,17:39,17:24,17:04,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0675,1234567,18:35,18:46,18:55,19:10,19:22,--:--,19:48,--:--,--:--,20:14,20:33,20:45
0249,----5--,18:40,18:51,18:59,--:--,--:--,--:--,19:40,--:--,--:--,--:--,20:18,20:30
0144,1234567,18:40,18:31,18:21,--:--,--:--,--:--,17:39,--:--,--:--,--:--,--:--,16:55
0664,------7,18:45,18:36,18:25,18:11,17:57,--:--,17:32,--:--,--:--,17:08,16:48,16:35
1327,----5--,18:50,19:01,--:--,19:20,--:--,--:--,19:54,20:06,20:17,20:30,20:48,21:00
0842,1234567,18:50,18:42,18:32,18:20,18:08,17:56,17:36,17:24,17:12,17:00,16:41,16:25
0853,1234567,19:00,19:11,19:19,19:34,19:47,19:58,20:17,20:30,20:41,20:55,21:13,21:25
1246,12345-7,19:05,18:57,18:47,--:--,--:--,--:--,18:08,--:--,--:--,--:--,17:28,17:15
1679,----5--,19:10,19:21,19:29,19:43,19:56,--:--,20:25,--:--,--:--,20:50,21:07,21:20
0666,1234567,19:10,19:02,18:51,18:38,18:25,--:--,18:00,--:--,--:--,17:32,17:13,17:00
0157,1234567,19:20,19:31,19:39,--:--,--:--,--:--,20:20,--:--,--:--,--:--,--:--,21:05
1553,----5--,19:25,19:36,19:46,20:01,20:12,20:25,20:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
1554,----5--,19:25,19:16,19:05,18:51,18:39,18:24,18:04,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0681,1234567,19:35,19:46,19:55,20:10,20:22,--:--,20:48,--:--,--:--,21:14,21:33,21:45
1253,----5-7,19:40,19:51,19:59,--:--,--:--,--:--,20:40,--:--,--:--,--:--,21:18,21:30
0148,1234567,19:40,19:31,19:21,--:--,--:--,--:--,18:39,--:--,--:--,--:--,--:--,17:55
0670,------7,19:45,19:36,19:25,19:11,18:57,--:--,18:32,--:--,--:--,18:08,17:48,17:35
