車次,行駛日,左營,台南,嘉義,雲林,彰化,台中,苗栗,新竹,桃園,板橋,台北,南港
0684,1234567,20:00,20:13,20:32,--:--,--:--,21:00,--:--,21:25,21:38,21:51,22:02,22:10
1258,------7,20:15,20:28,--:--,--:--,--:--,21:08,--:--,--:--,--:--,21:47,21:57,22:05
0858,1234567,20:25,20:41,21:00,21:12,21:24,21:36,21:56,22:08,22:20,22:32,22:42,22:50
1688,----5-7,20:35,20:48,21:08,--:--,--:--,21:32,--:--,21:57,22:11,22:25,22:36,22:45
1330,------7,20:45,20:58,21:19,21:31,21:42,21:54,--:--,--:--,22:27,--:--,22:47,22:55
0160,1234567,20:55,--:--,--:--,--:--,--:--,21:39,--:--,--:--,--:--,22:21,22:31,22:40
0690,1234567,21:05,21:18,21:37,--:--,--:--,22:05,--:--,22:30,22:43,22:56,23:07,23:15
0862,1234567,21:30,21:44,22:03,22:16,22:28,22:40,23:00,23:12,23:25,23:37,23:47,23:55
1264,----5-7,21:40,21:53,--:--,--:--,--:--,22:30,--:--,--:--,--:--,23:11,23:21,23:30
0696,1234567,21:55,22:11,22:32,--:--,--:--,22:59,--:--,23:27,23:40,23:52,23:59,xxxxx
0294,1234567,22:10,22:23,--:--,--:--,--:--,23:03,--:--,--:--,--:--,23:42,23:52,23:59
0598,1234567,22:55,23:08,23:27,23:39,23:49,23:59,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
